"industry_branch_code","payroll_year","avg_salary"
A,2000,10309.63
A,2001,11276.25
A,2002,11618.25
A,2003,11984.00
A,2004,13040.25
A,2005,13744.75
A,2006,14619.38
A,2007,15974.38
A,2008,17528.13
A,2009,17418.75
A,2010,18233.88
A,2011,18829.88
A,2012,19683.38
A,2013,20363.13
A,2014,21125.25
A,2015,21437.88
A,2016,22430.13
A,2017,23667.38
A,2018,25291.00
A,2019,27617.50
A,2020,28460.00
A,2021,27378.00
B,2000,16550.63
B,2001,17728.13
B,2002,18748.63
B,2003,19680.38
B,2004,21126.00
B,2005,22656.13
B,2006,24042.13
B,2007,25704.50
B,2008,29254.25
B,2009,28160.50
B,2010,30240.88
B,2011,31491.13
B,2012,32513.63
B,2013,31586.13
B,2014,31336.00
B,2015,31674.00
B,2016,31487.13
B,2017,33501.38
B,2018,35990.88
B,2019,37153.50
B,2020,37281.25
B,2021,37971.25
C,2000,12755.38
C,2001,13664.63
C,2002,14554.63
C,2003,15310.50
C,2004,16477.00
C,2005,17253.38
C,2006,18379.25
C,2007,19737.88
C,2008,21349.38
C,2009,21911.75
C,2010,22825.75
C,2011,23638.50
C,2012,24346.38
C,2013,24677.25
C,2014,25504.88
C,2015,26289.00
C,2016,27454.25
C,2017,29448.75
C,2018,31767.88
C,2019,33784.50
C,2020,33797.75
C,2021,34955.75
D,2000,18316.38
D,2001,19756.75
D,2002,21533.38
D,2003,22965.63
D,2004,24551.75
D,2005,26447.50
D,2006,28844.13
D,2007,30906.38
D,2008,35099.00
D,2009,38828.25
D,2010,39567.88
D,2011,40023.13
D,2012,42382.25
D,2013,40530.75
D,2014,41022.50
D,2015,40483.50
D,2016,41193.75
D,2017,43404.38
D,2018,46178.50
D,2019,49208.75
D,2020,52060.25
D,2021,55598.50
E,2000,13038.88
E,2001,13869.38
E,2002,14920.38
E,2003,15576.25
E,2004,16550.13
E,2005,17464.50
E,2006,18490.13
E,2007,19517.63
E,2008,21223.13
E,2009,21846.00
E,2010,22820.25
E,2011,22954.75
E,2012,23489.63
E,2013,23400.00
E,2014,24044.63
E,2015,24563.75
E,2016,25195.50
E,2017,26753.00
E,2018,28498.13
E,2019,30467.88
E,2020,31191.13
E,2021,31470.75
F,2000,12545.88
F,2001,13434.50
F,2002,14110.38
F,2003,15094.88
F,2004,16159.13
F,2005,16688.00
F,2006,17747.00
F,2007,18924.63
F,2008,20814.13
F,2009,21917.13
F,2010,22112.88
F,2011,22635.88
